sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
3,5,0.4288,12280,17.4194,251.188643,doc,1cm,1151.92,1141.16,-373.67,1_0
3,5,0.6369,12280,15.8112,398.107171,doc,1cm,1792.56,1770.13,-552.72,1_0
3,5,0.6001,12280,15.3779,630.957344,doc,1cm,1674.86,1656.46,-499.18,1_0
3,5,0.5683,12280,16.0982,1000,doc,1cm,1574.73,1557.04,-487.11,1_0
3,5,0.5308,12280,18.0445,1584.89319,doc,1cm,1458.48,1439.64,-498.91,1_0
3,5,0.4902,12280,21.0337,2511.88643,doc,1cm,1334.79,1313.67,-522.76,1_0
3,5,0.443,12280,24.8999,3981.07171,doc,1cm,1193.78,1170.53,-540.76,1_0
3,5,0.3868,12280,29.3865,6309.57344,doc,1cm,1029.63,1006.06,-535.09,1_0
3,5,0.3275,12280,33.977,10000,doc,1cm,860.72,839.17,-501.88,1_0
3,5,0.2684,12280,38.1716,15848.9319,doc,1cm,696.58,679.12,-443.55,1_0
3,5,0.2148,12280,41.5316,25118.8643,doc,1cm,551.23,538.48,-373.09,1_0
3,5,0.1688,12280,43.68,39810.7171,doc,1cm,429.06,420.6,-300.66,1_0
3,5,0.1307,12280,44.3406,63095.7344,doc,1cm,329.62,324.49,-232.9,1_0
3,5,0.1024,12280,43.4363,100000,doc,1cm,256.75,253.76,-178.14,1_0
3,5,0.0807,12280,41.3742,158489.319,doc,1cm,201.45,199.77,-134.22,1_0
3,5,0.0719,12280,39.9486,200000,doc,1cm,179.16,177.92,-115.92,1_0
3,5,0.091,12280,44.1708,20,ngang,1cm,227.64,225.21,-159.85,1_0
3,5,1.0595,12280,43.5585,25.1188643,ngang,1cm,3301.78,2779.28,-2430.4,1_0
3,5,0.8511,12280,41.5144,39.8107171,ngang,1cm,2519.1,2240.56,-1789.88,1_0
3,5,0.6423,12280,38.5718,63.0957344,ngang,1cm,1810.0,1685.48,-1205.88,1_0
3,5,0.5841,12280,33.9401,100,ngang,1cm,1624.3,1545.34,-976.99,1_0
3,5,0.5038,12280,29.3414,158.489319,ngang,1cm,1375.98,1333.29,-726.57,1_0
3,5,0.4469,12280,25.2164,251.188643,ngang,1cm,1205.32,1181.02,-552.56,1_0
3,5,0.4055,12280,21.8873,398.107171,ngang,1cm,1083.8,1068.98,-433.68,1_0
3,5,0.3728,12280,19.7692,630.957344,ngang,1cm,989.36,979.29,-357.92,1_0
3,5,0.3469,12280,18.9817,1000,ngang,1cm,915.5,907.58,-317.22,1_0
3,5,0.3248,12280,19.5757,1584.89319,ngang,1cm,853.13,845.85,-303.1,1_0
3,5,0.2986,12280,21.446,2511.88643,ngang,1cm,779.94,772.69,-300.47,1_0
3,5,0.2696,12280,24.3305,3981.07171,ngang,1cm,699.87,692.44,-301.56,1_0
3,5,0.2379,12280,27.7611,6309.57344,ngang,1cm,613.47,606.13,-296.44,1_0
3,5,0.2033,12280,31.184,10000,ngang,1cm,520.47,513.88,-277.37,1_0
3,5,0.1695,12280,34.0331,15848.9319,ngang,1cm,430.9,425.58,-246.56,1_0
3,5,0.139,12280,35.9312,25118.8643,ngang,1cm,351.15,347.24,-209.6,1_0
3,5,0.1127,12280,36.6293,39810.7171,ngang,1cm,283.17,280.54,-171.25,1_0
3,5,0.0919,12280,36.0461,63095.7344,ngang,1cm,229.93,228.25,-136.83,1_0
3,5,0.0755,12280,34.3836,100000,ngang,1cm,188.27,187.24,-107.37,1_0
3,5,0.0632,12280,32.1632,158489.319,ngang,1cm,157.21,156.58,-84.42,1_0
3,5,0.0581,12280,30.8877,200000,ngang,1cm,144.37,143.88,-74.73,1_0
3,5,1.0572,12280,43.0757,20,doc,1cm,3292.69,2782.31,-2409.99,2_0
3,5,0.7883,12280,48.7549,25.1188643,doc,1cm,2298.44,1995.92,-1781.85,2_0
3,5,0.6087,12280,35.6527,39.8107171,doc,1cm,1702.19,1607.0,-1066.58,2_0
